record_id,user_id,signup_channel,last_activity_date,total_transactions,total_value,status,ingestion_timestamp,days_since_last_activity,engagement_band,value_band
R076,U1076,web,2024-12-14,11,360.5,active,2025-01-10 02:02:15,403,inactive,high
R077,U1077,app,2024-09-22,2,70.0,inactive,2025-01-10 02:02:16,486,inactive,low
R078,U1078,web,2024-11-11,7,215.0,active,2025-01-10 02:02:17,436,inactive,medium
R079,U1079,phone,2024-07-05,1,12.0,inactive,2025-01-10 02:02:18,565,inactive,low
R080,U1080,app,2024-12-28,13,440.0,active,2025-01-10 02:02:19,389,inactive,high
R081,U1081,web,2024-08-19,2,55.0,inactive,2025-01-10 02:02:20,520,inactive,low
R082,U1082,web,2024-12-20,10,320.0,active,2025-01-10 02:02:21,397,inactive,high
R083,U1083,app,2024-10-09,5,160.0,active,2025-01-10 02:02:22,469,inactive,medium
R084,U1084,phone,2024-05-25,1,20.0,inactive,2025-01-10 02:02:23,606,inactive,low
R085,U1085,web,2024-12-31,18,710.0,active,2025-01-10 02:02:24,386,inactive,high
R086,U1086,app,2024-07-01,0,0.0,churned,2025-01-10 02:02:25,569,inactive,none
R087,U1087,web,2024-11-02,6,190.0,active,2025-01-10 02:02:26,445,inactive,medium
R088,U1088,app,2024-09-11,3,90.0,inactive,2025-01-10 02:02:27,497,inactive,low
R089,U1089,phone,2024-12-05,8,260.0,active,2025-01-10 02:02:28,412,inactive,medium
R090,U1090,web,2024-06-20,1,30.0,inactive,2025-01-10 02:02:29,580,inactive,low
R091,U1091,app,2024-12-23,14,500.0,active,2025-01-10 02:02:30,394,inactive,high
R092,U1092,web,2024-10-14,4,145.0,active,2025-01-10 02:02:31,464,inactive,medium
R093,U1093,phone,2024-04-05,0,0.0,churned,2025-01-10 02:02:32,656,inactive,none
R094,U1094,web,2024-12-16,11,385.0,active,2025-01-10 02:02:33,401,inactive,high
R095,U1095,app,2024-09-29,2,75.0,inactive,2025-01-10 02:02:34,479,inactive,low
R096,U1096,web,2024-11-18,7,230.0,active,2025-01-10 02:02:35,429,inactive,medium
R097,U1097,phone,2024-07-12,1,15.0,inactive,2025-01-10 02:02:36,558,inactive,low
R098,U1098,app,2024-12-26,13,460.0,active,2025-01-10 02:02:37,391,inactive,high
R099,U1099,web,2024-08-30,2,65.0,inactive,2025-01-10 02:02:38,509,inactive,low
R100,U1100,web,2024-12-22,10,340.0,active,2025-01-10 02:02:39,395,inactive,high
R101,U1101,app,2024-10-15,5,175.0,active,2025-01-10 02:02:40,463,inactive,medium
R102,U1102,phone,2024-05-18,1,25.0,inactive,2025-01-10 02:02:41,613,inactive,low
R103,U1103,web,2024-12-30,19,780.0,active,2025-01-10 02:02:42,387,inactive,high
R104,U1104,app,2024-07-20,0,0.0,churned,2025-01-10 02:02:43,550,inactive,none
R105,U1105,web,2024-11-09,6,205.0,active,2025-01-10 02:02:44,438,inactive,medium
R106,U1106,app,2024-09-02,3,100.0,inactive,2025-01-10 02:02:45,506,inactive,low
R107,U1107,phone,2024-12-10,8,285.0,active,2025-01-10 02:02:46,407,inactive,medium
R108,U1108,web,2024-06-25,1,35.0,inactive,2025-01-10 02:02:47,575,inactive,low
R109,U1109,app,2024-12-21,14,525.0,active,2025-01-10 02:02:48,396,inactive,high
R110,U1110,web,2024-10-22,4,160.0,active,2025-01-10 02:02:49,456,inactive,medium
R111,U1111,phone,2024-04-15,0,0.0,churned,2025-01-10 02:02:50,646,inactive,none
R112,U1112,web,2024-12-19,11,410.0,active,2025-01-10 02:02:51,398,inactive,high
R113,U1113,app,2024-09-18,2,85.0,inactive,2025-01-10 02:02:52,490,inactive,low
R114,U1114,2024-11-25,,245,0.0,2025-01-10 02:02:53,,9999,inactive,none
R115,U1115,phone,2024-07-30,1,18.0,inactive,2025-01-10 02:02:54,540,inactive,low
R116,U1116,app,2024-12-27,13,485.0,active,2025-01-10 02:02:55,390,inactive,high
R117,U1117,web,2024-08-05,2,70.0,inactive,2025-01-10 02:02:56,534,inactive,low
R118,U1118,web,2024-12-23,10,365.0,active,2025-01-10 02:02:57,394,inactive,high
R119,U1119,app,2024-10-30,5,190.0,active,2025-01-10 02:02:58,448,inactive,medium
R120,U1120,phone,2024-05-10,1,28.0,inactive,2025-01-10 02:02:59,621,inactive,low
R121,U1121,web,2024-12-31,21,950.0,active,2025-01-10 02:03:00,386,inactive,high
R122,U1122,app,2024-07-15,0,0.0,churned,2025-01-10 02:03:01,555,inactive,none
R123,U1123,2024-11-08,,220,0.0,2025-01-10 02:03:02,,9999,inactive,none
R124,U1124,app,2024-09-25,3,110.0,inactive,2025-01-10 02:03:03,483,inactive,medium
R125,U1125,phone,2024-12-15,8,300.0,active,2025-01-10 02:03:04,402,inactive,medium
R126,U1126,web,2024-06-12,1,40.0,inactive,2025-01-10 02:03:05,588,inactive,low
R127,U1127,app,2024-12-25,14,550.0,active,2025-01-10 02:03:06,392,inactive,high
R128,U1128,web,2024-10-29,4,175.0,active,2025-01-10 02:03:07,449,inactive,medium
R129,U1129,phone,2024-04-18,0,0.0,churned,2025-01-10 02:03:08,643,inactive,none
R130,U1130,web,2024-12-20,11,430.0,active,2025-01-10 02:03:09,397,inactive,high
